Table S1 Original predicted PPIs ,,,,,,,
interactor A,annotation,interactor B,annotation,taxid,Organism,method,ref
Unigene17242,small ubiquitin-related modifier,Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15292183
Unigene17242,small ubiquitin-related modifier,Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15590687
Unigene17242,small ubiquitin-related modifier,Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15166219
Unigene17242,small ubiquitin-related modifier,Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15542864
Unigene8268,triosephosphate isomerase (TIM) [EC:5.3.1.1],Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene12141,--,Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene13400,--,Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene18051,--,Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene7973,acetyl-CoA carboxylase / biotin carboxylase [EC:6.4.1.2 6.3.4.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene1018,adenylosuccinate lyase [EC:4.3.2.2],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4522,anthranilate synthase component I [EC:4.1.3.27],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene497,cell division protease FtsH [EC:3.4.24.-],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21439406
Unigene497,cell division protease FtsH [EC:3.4.24.-],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21987634
Unigene2079,cytochrome c oxidase subunit VIb [EC:1.9.3.1],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4758,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18937496
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:15581895
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18722382
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:21748405
Unigene16401,glutamine synthetase [EC:6.3.1.2],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene15844,glycine hydroxymethyltransferase [EC:2.1.2.1],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene563,H+-transporting ATPase [EC:3.6.3.6],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene1953,preprotein translocase subunit YidC,Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17344477
Unigene12790,pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene12792,ribose 5-phosphate isomerase A [EC:5.3.1.6],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene11350,squalene monooxygenase [EC:1.14.99.7],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene353,UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene16678,V-type H+-transporting ATPase subunit B [EC:3.6.3.14],Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene12141,--,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:10449236
Unigene12141,--,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene12141,--,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene11774,26S proteasome regulatory subunit N1,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18757749
Unigene16115,26S proteasome regulatory subunit N11,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18757749
Unigene16115,26S proteasome regulatory subunit N11,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:20170199
Unigene497,cell division protease FtsH [EC:3.4.24.-],Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21439406
Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16339725
Unigene26714,molecular chaperone HtpG,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21439406
Unigene5358,,Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene13542,F-type H+-transporting ATPase subunit delta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18937496
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene13542,F-type H+-transporting ATPase subunit delta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:15581895
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene13542,F-type H+-transporting ATPase subunit delta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18722382
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene13542,F-type H+-transporting ATPase subunit delta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:21748405
Unigene13124,leucyl-tRNA synthetase [EC:6.1.1.4],Unigene13542,F-type H+-transporting ATPase subunit delta [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene12141,--,Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene9171,--,Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805837
Unigene12027,"ATP-binding cassette, sub-family F, member 2",Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16260602
Unigene497,cell division protease FtsH [EC:3.4.24.-],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:7498726
Unigene497,cell division protease FtsH [EC:3.4.24.-],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:12524335
Unigene8330,"coatomer protein complex, subunit alpha (xenin)",Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805837
Unigene8836,F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18937496
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:15581895
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:18722382
Unigene8333,F-type H+-transporting ATPase subunit beta [EC:3.6.3.14],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:21748405
Unigene12327,histone-binding protein RBBP4,Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene26714,molecular chaperone HtpG,Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene15139,non-specific serine/threonine protein kinase [EC:2.7.11.1],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805837
Unigene18252,pre-mRNA-processing factor 19 [EC:6.3.2.19],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805837
Unigene12633,protein phosphatase [EC:3.1.3.16],Unigene16807,F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:20489023
Unigene12141,--,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16941010
Unigene16789,--,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene11774,26S proteasome regulatory subunit N1,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18757749
Unigene16115,26S proteasome regulatory subunit N11,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18757749
Unigene16115,26S proteasome regulatory subunit N11,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:20170199
Unigene8297,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4664,aconitate hydratase 1 [EC:4.2.1.3],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21987634
Unigene1018,adenylosuccinate lyase [EC:4.3.2.2],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4522,anthranilate synthase component I [EC:4.1.3.27],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene2137,AP-2 complex subunit sigma-1,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene5191,cytochrome c,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene15121,cytochrome c oxidase subunit I [EC:1.9.3.1],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16941010
Unigene8114,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene5083,high mobility group protein B2,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21987634
Unigene11994,histone acetyltransferase MYST1 [EC:2.3.1.48],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene7331,hydroxymethylbilane synthase [EC:2.5.1.61],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene13124,leucyl-tRNA synthetase [EC:6.1.1.4],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene16792,"mitochondrial carrier protein, MC family",Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4104,mitochondrial dicarboxylate carrier,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16941010
Unigene14309,phosphomannomutase [EC:5.4.2.8],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene7762,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene250,phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene6881,"protein kinase, cGMP-dependent [EC:2.7.11.12]",Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene12792,ribose 5-phosphate isomerase A [EC:5.3.1.6],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4366,succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene226,succinate dehydrogenase (ubiquinone) iron-sulfur protein [EC:1.3.5.1],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene12561,tyrosyl-tRNA synthetase [EC:6.1.1.1],Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene12784,voltage-dependent anion channel,Unigene8864,"fumarate hydratase, class II [EC:4.2.1.2]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21987634
Unigene12472,extracellular signal-regulated kinase 1/2 [EC:2.7.11.24],Unigene15572,galactokinase [EC:2.7.1.6],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:19269370
Unigene17242,small ubiquitin-related modifier,Unigene15572,galactokinase [EC:2.7.1.6],taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15542864
Unigene13400,--,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene15957,--,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene23704,--,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene488,3-isopropylmalate dehydratase [EC:4.2.1.33],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene3920,acetyl-CoA synthetase [EC:6.2.1.1],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene3920,acetyl-CoA synthetase [EC:6.2.1.1],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene12099,alanine transaminase [EC:2.6.1.2],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene5035,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene675,amidophosphoribosyltransferase [EC:2.4.2.14],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4522,anthranilate synthase component I [EC:4.1.3.27],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene4093,bifunctional aspartokinase/homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene13321,calmodulin,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene7513,carotenoid epsilon-ring hydroxylase,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene7513,carotenoid epsilon-ring hydroxylase,Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene2592,"coatomer protein complex, subunit alpha (xenin)",Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene8330,"coatomer protein complex, subunit alpha (xenin)",Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene16498,cysteine synthase A [EC:2.5.1.47],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene4758,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene17424,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Unigene9067,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
